Player,Player Name,Country,Team,Agents,Maps,K,D,A,KD,KDA,ACS/Map,K/Map,D/Map,A/Map
Keznit,Angelo Mori,Chile,KRÜ Esports,"['Raze', 'Jett']",4,79,70,21,1.12,1.42,266,19.7,17.5,5.2
Whz,Wang Haozhe,China,Bilibili Gaming,"['Raze', 'Jett']",11,212,181,41,1.17,1.39,254,19.2,16.4,3.7
Demon1,Max Mazanov,United States,Evil Geniuses,"['Jett', 'Astra', 'Chamber']",21,421,302,80,1.39,1.65,246,20.0,14.3,3.8
Aspas,Erick Santos,Brazil,LOUD,"['Raze', 'Jett']",24,446,355,82,1.25,1.48,235,18.5,14.7,3.4
Jinggg,Wang Jing Jie,Singapore,Paper Rex,"['Raze', 'Phoenix']",16,285,279,92,1.02,1.35,234,17.8,17.4,5.7
Ardiis,Ardis Svarenieks,Latvia,NRG,"['Jett', 'Chamber', 'Killjoy']",6,106,94,22,1.12,1.36,232,17.6,15.6,3.6
Alfajer,Emir Ali Beder,Turkey,Fnatic,"['Killjoy', 'Cypher', 'Chamber']",14,233,168,36,1.38,1.6,232,16.6,12.0,2.5
AAAAY,Zhang Yang,China,FunPlus Phoenix,"['Skye', 'Gekko']",4,76,57,16,1.33,1.61,231,19.0,14.2,4.0
Sayaplayer,Ha Jeong-woo,South Korea,T1,"['Jett', 'Raze']",6,105,94,15,1.11,1.27,230,17.5,15.6,2.5
Jawgemo,Alexander Mor,Cambodia,Evil Geniuses,"['Raze', 'Omen', 'Astra']",21,362,325,154,1.11,1.58,228,17.2,15.4,7.3
BuZz,Yu Byung-chul,South Korea,DRX,"['Raze', 'Jett']",13,221,216,54,1.02,1.27,228,17.0,16.6,4.1
Less,Felipe de Loyola,Brazil,LOUD,"['Killjoy', 'Viper']",24,416,344,100,1.2,1.5,227,17.3,14.3,4.1
Fit1nho,Adolfo Gallego,Spain,Giants,"['Raze', 'Jett']",7,130,127,31,1.02,1.26,227,18.5,18.1,4.4
ZmjjKK,Zheng Yongkang,China,EDward Gaming,"['Jett', 'Raze', 'Chamber']",16,286,273,66,1.04,1.28,226,17.8,17.0,4.1
Dep,Yuuma Hisamoto,Japan,ZETA DIVISION,"['Neon', 'Killjoy']",4,70,65,6,1.07,1.16,226,17.5,16.2,1.5
Sayf,Saif Jibraeel,Sweden,Team Liquid,"['Raze', 'Breach', 'Jett']",4,69,68,26,1.01,1.39,222,17.2,17.0,6.5
Victor,Victor Wong,United States,NRG,"['Raze', 'Killjoy', 'KAY/O']",6,106,99,25,1.07,1.32,221,17.6,16.5,4.1
CNed,Mehmet Yağız İpek,Turkey,Natus Vincere,"['Jett', 'Neon', 'Sage']",8,163,135,34,1.2,1.45,220,20.3,16.8,4.2
Derke,Nikita Sirmitev,Finland,Fnatic,"['Raze', 'Jett']",14,206,180,44,1.14,1.38,218,14.7,12.8,3.1
Cauanzin,Cauan Pereira,Brazil,LOUD,"['Skye', 'Fade', 'Sova']",24,391,348,207,1.12,1.71,217,16.2,14.5,8.6
Cloud,Kirill Nehozhin,Russia,Giants,"['Skye', 'Sova']",7,123,111,62,1.1,1.66,216,17.5,15.8,8.8
Munchkin,Byeon Sang-beom,South Korea,T1,"['Killjoy', 'Skye', 'Breach']",6,90,97,29,0.92,1.22,211,15.0,16.1,4.8
NAts,Ayaz Akhmetshin,Russia,Team Liquid,"['Viper', 'Killjoy']",4,70,64,14,1.09,1.31,211,17.5,16.0,3.5
Something,Ilya Petrov,Russia,Paper Rex,"['Jett', 'Reyna', 'Breach']",16,269,245,73,1.09,1.39,210,16.8,15.3,4.5
MrFaliN,Furkan Yeğen,Turkey,FUT Esports,"['Killjoy', 'Breach', 'Fade']",10,160,143,74,1.11,1.63,209,16.0,14.3,7.4
Lysoar,You Hao Liang,China,FunPlus Phoenix,"['Killjoy', 'Viper']",4,60,63,14,0.95,1.17,208,15.0,15.7,3.5
Yosemite,Wang Lei,China,Bilibili Gaming,"['Viper', 'Killjoy']",11,172,166,64,1.03,1.42,207,15.6,15.0,5.8
Yuicaw,Huang Yung-chieh,Taiwan,FunPlus Phoenix,"['Jett', 'Raze']",4,59,68,13,0.86,1.05,206,14.7,17.0,3.2
Leo,Leo Jannesson,Sweden,Fnatic,"['Sova', 'Skye', 'Fade']",14,201,147,119,1.36,2.17,206,14.3,10.5,8.5
F0rsakeN,Jason Susanto,Indonesia,Paper Rex,"['Killjoy', 'Harbor', 'Skye']",16,256,255,121,1.0,1.47,205,16.0,15.9,7.5
Hoody,Aaro Peltokangas,Finland,Giants,"['Omen', 'Viper', 'Skye']",7,113,113,74,1.0,1.65,204,16.1,16.1,10.5
Smoggy,Zhang Zhao,China,EDward Gaming,"['Breach', 'Jett', 'KAY/O']",16,261,265,77,0.98,1.27,201,16.3,16.5,4.8
Zest,Kim Ki-seok,South Korea,DRX,"['Viper', 'Sova']",13,197,201,91,0.98,1.43,200,15.1,15.4,7.0
Nobody,Wang Senxu,China,EDward Gaming,"['Skye', 'Sova', 'Fade']",16,248,266,117,0.93,1.37,198,15.5,16.6,7.3
Zyppan,Pontus Eek,Sweden,Natus Vincere,"['Raze', 'KAY/O', 'Breach']",8,136,154,59,0.88,1.26,198,17.0,19.2,7.3
CHICHOO,Wan Shunji,China,EDward Gaming,"['Viper', 'Killjoy', 'Cypher']",16,245,236,110,1.03,1.5,197,15.3,14.7,6.8
ATA KAPTAN,Ata Tan,Turkey,FUT Esports,"['Brimstone', 'Omen']",10,136,154,116,0.88,1.63,196,13.6,15.4,11.6
C0M,Corbin Lee,United States,Evil Geniuses,"['Sova', 'Viper']",21,330,294,144,1.12,1.61,195,15.7,14.0,6.8
Ethan,Ethan Arnold,United States,Evil Geniuses,"['Skye', 'KAY/O', 'Yoru']",21,303,303,265,1.0,1.87,193,14.4,14.4,12.6
SUYGETSU,Dmitry Ilyushin,Non-representing,Natus Vincere,"['Viper', 'Killjoy', 'Cypher']",8,148,123,34,1.2,1.47,193,18.5,15.3,4.2
QRaxs,Doğukan Balaban,Turkey,FUT Esports,"['KAY/O', 'Gekko']",10,145,155,91,0.93,1.52,192,14.5,15.5,9.1
D4v41,Khalish Rusyaidee,Malaysia,Paper Rex,"['Skye', 'Viper', 'Killjoy']",16,243,227,153,1.07,1.74,192,15.1,14.1,9.5
Mojj,Buğra Kiraz,Turkey,FUT Esports,"['Viper', 'Killjoy']",10,141,152,60,0.92,1.32,192,14.1,15.2,6.0
Qw1,Konuralp Şahin,Turkey,FUT Esports,"['Jett', 'Raze']",10,151,163,18,0.92,1.03,190,15.1,16.3,1.8
MaKo,Kim Myeong-gwan,South Korea,DRX,"['Omen', 'Brimstone']",13,183,189,145,0.96,1.73,190,14.0,14.5,11.1
Knight,Liu Yuxiang,China,Bilibili Gaming,"['Cypher', 'Omen', 'Breach']",11,157,172,76,0.91,1.35,188,14.2,15.6,6.9
Biank,Zhong Jian Fei,China,Bilibili Gaming,"['Sova', 'Skye', 'Fade']",11,155,174,85,0.89,1.37,188,14.0,15.8,7.7
